Frame,RMSD_noFit_frame0
985,1.7804991
986,2.1733413
987,1.676403
988,2.1118982
989,2.1110692
990,2.1343884
991,2.1780202
992,1.8698583
993,2.0895267
994,1.9433434
995,2.1441648
996,2.6808543
997,2.2250314
998,1.7859592
999,1.5688909
1000,2.1597662
1001,2.3355982
1002,1.7977248
1003,2.0036085
1004,2.0589364
1005,2.3827283
1006,2.3904207
1007,2.6732535
1008,1.7902668
1009,2.1995268
1010,2.0872922
1011,1.782299
1012,1.9015476
1013,1.8683871
1014,1.6855457
1015,2.1004512
1016,1.8281738
1017,2.141291
1018,1.7302191
1019,1.6965549
1020,1.7703376
1021,1.5335912
1022,1.9146881
1023,1.4769379
1024,1.7156532
1025,2.1726074
1026,1.6727636
1027,2.0099692
1028,1.9210987
1029,1.5387694
1030,2.3059757
1031,1.6844248
1032,1.6761944
1033,1.4791596
1034,1.6681732
1035,1.7710979
1036,1.493573
1037,1.5117497
1038,2.155256
1039,1.5906554
1040,1.7999493
1041,2.081299
1042,1.7863357
1043,1.6307307
1044,1.6843987
1045,1.8456987
1046,1.7502005
1047,1.7659684
1048,1.5093815
1049,1.8402569
1050,1.7668649
1051,1.5866679
1052,1.8715115
1053,1.6455178
1054,1.6199749
1055,1.6961418
1056,1.7232528
1057,1.8397847
1058,1.6839054
1059,1.4756593
1060,1.9746594
1061,1.9551228
1062,1.7761436
1063,1.5016767
1064,2.1213677
1065,1.9199604
1066,2.0225418
1067,1.9893795
1068,1.7187229
1069,1.5802374
1070,1.87314
1071,1.9898663
1072,1.5141404
1073,1.4542675
1074,1.7699568
1075,1.4858439
1076,1.5414276
1077,1.6291413
1078,1.6470746
1079,1.8975116
1080,1.9181913
1081,1.6004
1082,1.4012141
1083,1.6827945
1084,1.6711808
1085,1.6123945
1086,1.774998
1087,1.665272
1088,1.682149
1089,1.731095
1090,1.6085649
1091,1.6464638
1092,2.0157492
1093,1.9504188
1094,1.6942834
1095,2.0316873
1096,1.9513113
1097,1.8098825
1098,1.9538245
1099,1.6449494
